OBJECTID,time,icao24,lat,lon,velocity,heading,vertrate,callsign,onground,alert,spi,squawk,baroaltitu,geoaltitud,lastposupd,lastcontac
101,1590365810,a198e5,41.173406051377114,-87.048797607421875,188.450183473327257,311.347777219693683,-5.201920000000000,EJM16   ,False,False,False,3327,3284.220000000000255,3406.140000000000327,1590365809.865999937057495,1590365809.865999937057495
102,1590365820,a198e5,41.184448242187500,-87.065307617187500,188.790434546514234,311.464984689604080,-5.201920000000000,EJM16   ,False,False,False,3327,3238.500000000000000,3352.800000000000182,1590365819.778000116348267,1590365819.915999889373779
103,1590365830,a198e5,41.195937334480931,-87.082568081942497,188.450183473327257,311.347777219693683,-5.201920000000000,EJM16   ,False,False,False,1420,3185.160000000000309,3299.460000000000491,1590365829.966000080108643,1590365829.966000080108643
104,1590365840,a198e5,41.206420898437500,-87.098327636718750,188.064290490605998,311.451318026095578,-5.201920000000000,EJM16   ,False,False,False,1420,3131.820000000000164,3238.500000000000000,1590365839.456000089645386,1590365839.578999996185303
105,1590365850,a198e5,41.217590332031250,-87.115051269531250,187.338157217703412,311.437545416279875,-4.876800000000000,EJM16   ,False,False,False,1420,3086.100000000000364,3192.780000000000200,1590365849.187999963760376,1590365849.937999963760376
106,1590365860,a198e5,41.229080200195312,-87.132385253906250,183.707657073467459,311.367049260511806,0.000000000000000,EJM16   ,False,False,False,1420,3055.620000000000346,3162.300000000000182,1590365859.698999881744385,1590365859.986000061035156
107,1590365870,a198e5,41.239837646484375,-87.148498535156250,176.786942200371925,311.342770597938397,0.000000000000000,EJM16   ,False,False,False,1420,3063.240000000000236,3169.920000000000073,1590365869.681999921798706,1590365869.944000005722046
108,1590365880,a198e5,41.250310348252114,-87.164278897372185,169.140237389993445,311.300680507712798,0.325120000000000,EJM16   ,False,False,False,1420,3063.240000000000236,3169.920000000000073,1590365879.857000112533569,1590365879.857000112533569
109,1590365890,a198e5,41.259887695312500,-87.178771972656250,161.880740150854422,311.134538830148244,0.325120000000000,EJM16   ,False,False,False,1420,3063.240000000000236,3169.920000000000073,1590365889.839999914169312,1590365889.993000030517578
110,1590365900,a198e5,41.269117452330505,-87.192681052468060,156.364743924995309,311.398721882776556,-0.650240000000000,EJM16   ,False,False,False,1420,3063.240000000000236,3169.920000000000073,1590365899.618000030517578,1590365899.963000059127808
111,1590365910,a198e5,41.278518676757812,-87.206054687500000,157.162431507223999,315.795723552739275,-5.852160000000000,EJM16   ,False,False,False,1420,3040.380000000000109,3147.059999999999945,1590365909.398999929428101,1590365909.996999979019165
112,1590365920,a198e5,41.289596557617188,-87.219116210937500,158.693258302595694,319.338266791428168,-5.527040000000000,EJM16   ,False,False,False,1420,2979.420000000000073,3078.480000000000018,1590365919.713999986648560,1590365919.959000110626221
113,1590365930,a198e5,41.300399780273438,-87.231323242187500,157.299613018634119,319.642602198297709,-5.201920000000000,EJM16   ,False,False,False,1420,2933.700000000000273,3032.760000000000218,1590365929.707000017166138,1590365929.966000080108643
114,1590365940,a198e5,41.310781705177433,-87.243430397727252,155.897753492715310,317.942520456368641,-5.201920000000000,EJM16   ,False,False,False,1420,2880.360000000000127,2979.420000000000073,1590365939.572999954223633,1590365939.914000034332275
115,1590365950,a198e5,41.321273803710938,-87.256164550781250,154.724538692978996,317.290610042638548,-5.201920000000000,EJM16   ,False,False,False,1420,2827.019999999999982,2918.460000000000036,1590365949.661000013351440,1590365949.901000022888184
116,1590365960,a198e5,41.331637107719807,-87.268961126154124,154.298899921789967,316.621145913653436,-5.201920000000000,EJM16   ,False,False,False,1420,2781.300000000000182,2872.740000000000236,1590365959.957999944686890,1590365959.967999935150146
117,1590365970,a198e5,41.340994107521183,-87.281445589932559,153.218835224357719,313.231333654596881,-5.201920000000000,EJM16   ,False,False,False,1420,2727.960000000000036,2819.400000000000091,1590365969.523999929428101,1590365969.999000072479248
118,1590365980,a198e5,41.350630420749468,-87.295553034002126,153.074538962046745,311.457638807806291,-6.827520000000001,EJM16   ,False,False,False,1420,2667.000000000000000,2750.820000000000164,1590365979.901999950408936,1590365979.901999950408936
119,1590365990,a198e5,41.359863281250000,-87.309570312500000,152.782939304178626,311.040735031091856,-6.502400000000001,EJM16   ,False,False,False,1420,2598.420000000000073,2682.240000000000236,1590365989.946000099182129,1590365989.946000099182129
120,1590366000,a198e5,41.368606567382812,-87.322631835937500,151.883002401978615,312.117036547460430,-6.827520000000001,EJM16   ,False,False,False,1420,2537.460000000000036,2621.280000000000200,1590365999.671000003814697,1590365999.960999965667725
121,1590366010,a198e5,41.377956584348517,-87.336314808238626,151.501792793705931,312.247514599731289,-7.802880000000000,EJM16   ,False,False,False,1420,2461.260000000000218,2537.460000000000036,1590366009.986999988555908,1590366009.989000082015991
122,1590366020,a198e5,41.386754957296077,-87.349228969840127,151.538472442250509,311.972754817719988,-7.802880000000000,EJM16   ,False,False,False,1420,2385.059999999999945,2453.639999999999873,1590366019.489000082015991,1590366019.937999963760376
123,1590366030,a198e5,41.396205061573092,-87.363217375999227,150.811958902296084,311.958157843381628,-7.802880000000000,EJM16   ,False,False,False,771,2308.860000000000127,2377.440000000000055,1590366029.707000017166138,1590366029.964999914169312
