OBJECTID,time,icao24,lat,lon,velocity,heading,vertrate,callsign,onground,alert,spi,squawk,baroaltitude,geoaltitude,lastposupdate,lastcontact
106,1590366030,89902f,45.020576089115465,-93.173976991234724,238.348073340389078,131.500030860932100,0.000000000000000,EVA056  ,False,False,False,7041,11277.600000000000364,11643.360000000000582,1590366029.838999986648560,1590366029.996999979019165
107,1590366040,89902f,45.006517313294488,-93.151602396150906,237.963021902740678,131.582106873263768,0.000000000000000,EVA056  ,False,False,False,7041,11277.600000000000364,11643.360000000000582,1590366039.782000064849854,1590366039.996000051498413
108,1590366050,89902f,44.992551641949149,-93.129562750095261,238.304765290169712,131.674626299418463,0.000000000000000,EVA056  ,False,False,False,7041,11277.600000000000364,11643.360000000000582,1590366049.625999927520752,1590366049.927000045776367
109,1590366060,89902f,44.977934239274362,-93.106384277343750,238.304765290169712,131.674626299418463,0.000000000000000,EVA056  ,False,False,False,7041,11277.600000000000364,11643.360000000000582,1590366059.867000102996826,1590366059.992000102996826
110,1590366070,89902f,44.964015120166842,-93.084344631288104,237.578460358575569,131.664448763267643,0.000000000000000,EVA056  ,False,False,False,7041,11277.600000000000364,11650.979999999999563,1590366069.704999923706055,1590366069.996000051498413
111,1590366080,89902f,44.950103759765625,-93.062308175223222,237.578460358575569,131.664448763267643,0.000000000000000,EVA056  ,False,False,False,7041,11277.600000000000364,11650.979999999999563,1590366079.374000072479248,1590366079.990999937057495
112,1590366090,89902f,44.935245837195446,-93.038724573647073,237.578460358575569,131.664448763267643,0.000000000000000,EVA056  ,False,False,False,7041,11277.600000000000364,11650.979999999999563,1590366089.970000028610229,1590366089.970000028610229
113,1590366100,89902f,44.921356201171875,-93.016793387276778,237.578460358575569,131.664448763267643,0.000000000000000,EVA056  ,False,False,False,7041,11277.600000000000364,11650.979999999999563,1590366099.688999891281128,1590366099.986000061035156
114,1590366110,89902f,44.907028198242188,-92.994166782924140,237.194391090675992,131.747057483179589,0.000000000000000,EVA056  ,False,False,False,7041,11277.600000000000364,11650.979999999999563,1590366109.861000061035156,1590366109.940000057220459
115,1590366120,89902f,44.893112182617188,-92.972194126674140,237.194391090675992,131.747057483179589,0.000000000000000,EVA056  ,False,False,False,7041,11277.600000000000364,11650.979999999999563,1590366119.743999958038330,1590366119.798000097274780
116,1590366130,89902f,44.878638316009003,-92.949360172922979,237.578460358575569,131.664448763267643,0.000000000000000,EVA056  ,False,False,False,7041,11277.600000000000364,11650.979999999999563,1590366129.927999973297119,1590366129.948999881744385
117,1590366140,89902f,44.865417480468750,-92.928575788225430,237.194391090675992,131.747057483179589,0.000000000000000,EVA056  ,False,False,False,7041,11277.600000000000364,11650.979999999999563,1590366139.118999958038330,1590366139.983999967575073
118,1590366150,89902f,44.850101794226696,-92.904410013338406,237.537240305168154,131.839638373954358,0.000000000000000,EVA056  ,False,False,False,7041,11277.600000000000364,11650.979999999999563,1590366149.953999996185303,1590366149.953999996185303
119,1590366160,89902f,44.836043018405718,-92.882303377477115,237.537240305168154,131.839638373954358,0.000000000000000,EVA056  ,False,False,False,7041,11277.600000000000364,11650.979999999999563,1590366159.871999979019165,1590366159.911999940872192
120,1590366170,89902f,44.822067260742188,-92.860434395926347,237.537240305168154,131.839638373954358,0.325120000000000,EVA056  ,False,False,False,7041,11277.600000000000364,11650.979999999999563,1590366169.711999893188477,1590366169.983999967575073
121,1590366180,89902f,44.807418823242188,-92.837415422712070,237.920756121171365,131.756999255772911,0.000000000000000,EVA056  ,False,False,False,7041,11277.600000000000364,11650.979999999999563,1590366179.963000059127808,1590366179.983999967575073
122,1590366190,89902f,44.793731689453125,-92.815965924944180,238.263670888884803,131.849283586732270,0.000000000000000,EVA056  ,False,False,False,7041,11277.600000000000364,11650.979999999999563,1590366189.579999923706055,1590366189.766000032424927
123,1590366200,89902f,44.779156183792374,-92.793139946169958,237.880707927255258,131.931952156565103,0.000000000000000,EVA056  ,False,False,False,7041,11277.600000000000364,11650.979999999999563,1590366199.874000072479248,1590366199.917000055313110
124,1590366210,89902f,44.765050855733577,-92.771033310308667,237.880707927255258,131.931952156565103,0.000000000000000,EVA056  ,False,False,False,7041,11277.600000000000364,11650.979999999999563,1590366209.729000091552734,1590366209.901999950408936
